Rank	Player	Country	Min rating	Med rating	Max rating
883	あめす	Japan	0.53	0.90	1.55
884	つづら	Japan	0.53	0.91	1.59
885	Rayming	France	0.52	0.57	0.62
886	しゅーまい	Japan	0.52	0.57	0.63
887	ケマル	Japan	0.52	0.72	0.99
888	あさか	Japan	0.52	0.67	0.87
889	かなりあ	Japan	0.52	0.60	0.68
890	たいちょー	Japan	0.52	0.73	1.04
891	わいくん	Japan	0.52	0.74	1.05
892	もっちゃん	Japan	0.52	0.85	1.40
893	ミノ	Japan	0.51	0.78	1.19
894	Ting	Taiwan	0.51	0.79	1.21
895	スライド	Japan	0.51	0.70	0.97
896	金貫宇	Japan	0.51	1.03	2.07
897	ガッキー	Japan	0.51	0.66	0.84
898	にゃーめん	Japan	0.51	0.55	0.60
899	しょうちゃん	Japan	0.51	1.20	2.82
900	novu-z	Japan	0.51	0.57	0.64
901	きりなか	Japan	0.50	0.58	0.66
902	あーす	Japan	0.50	0.77	1.18
903	すざく	Japan	0.50	0.73	1.06
904	ShinKoala	France	0.50	0.60	0.72
905	shirotsuki@puyo	Japan	0.50	0.55	0.60
906	そめると	Japan	0.50	0.59	0.71
907	HANTOCHANNEL	Japan	0.50	0.55	0.60
908	Makun	France	0.50	0.51	0.52
909	ナナセ	Japan	0.49	0.57	0.67
910	カシューナッツ	Japan	0.49	0.75	1.15
911	はぎぉ	Japan	0.49	0.67	0.93
912	KirbyCombo35	USA	0.48	0.87	1.57
913	みどわら	Japan	0.48	0.85	1.49
914	ヴぁす	Japan	0.48	0.69	0.97
915	おちゃけん	Japan	0.48	0.54	0.60
916	Schwefel24	Korea	0.48	0.60	0.75
917	とりてん	Japan	0.48	0.55	0.62
918	ふらん	Japan	0.48	1.22	3.09
919	shoboru	USA	0.48	1.15	2.77
920	さかした	Japan	0.48	0.53	0.58
921	ゆーたろー	Japan	0.48	0.67	0.92
922	yuki@ぷよ	Japan	0.48	0.72	1.09
923	ロシアン帽	Japan	0.48	0.59	0.72
924	らそ	Japan	0.48	0.51	0.55
925	おふSUPERBGAMiNGS	Japan	0.48	1.48	4.58
926	ゆくるみ	Japan	0.48	0.67	0.96
927	スモ太郎	Japan	0.47	1.47	4.52
928	雪大福	Japan	0.47	0.56	0.65
929	DemonChu	USA	0.47	0.79	1.32
930	もりもつ	Japan	0.47	0.54	0.61
931	はちまき	Japan	0.47	0.65	0.89
932	まし	Japan	0.47	0.73	1.13
933	XALAGI	Japan	0.47	0.53	0.60
934	Dre126	USA	0.47	0.81	1.40
935	めりー	Japan	0.47	0.49	0.52
936	由真あずきぃ	Japan	0.47	0.72	1.10
937	くらっしゅぼんばー	Japan	0.47	0.75	1.19
938	RM9	Taiwan	0.46	0.75	1.19
939	ハルカス	Japan	0.46	0.95	1.98
